=== EasyOCR 인식 결과 - 2025-04-04 15:06:39 ===



=== 이미지: IMG_OCR_6_F_0000311.png ===
ID 1: JSON=하동규, EasyOCR=하 동
ID 2: JSON=512539-4131285, EasyOCR=51 2539 - 413 [ 285
ID 3: JSON=859-8043-7868, EasyOCR=859 8043 - IP6 @
ID 4: JSON=경상남도, EasyOCR=경상 남도
ID 5: JSON=중원구, EasyOCR=중 원구
ID 6: JSON=상남리, EasyOCR=상남리
ID 7: JSON=529, EasyOCR=5 29
ID 8: JSON=천인광역시의료원, EasyOCR=천 인 광역 시의로원
ID 9: JSON=1315.2.26, EasyOCR=13 ( 5. 2. 26
ID 10: JSON=겨드랑, EasyOCR=겨 드랑
ID 11: JSON=2304.6.27, EasyOCR=2 3o4 6 27
ID 12: JSON=989, EasyOCR=
ID 13: JSON=4643.9.21, EasyOCR=4643.9. 2
ID 14: JSON=2223.7.27, EasyOCR=22 23 7 27
ID 15: JSON=2181, EasyOCR=2 | &
ID 16: JSON=1, EasyOCR=
ID 17: JSON=1, EasyOCR=
ID 18: JSON=민현숙, EasyOCR=민 현숙


=== 이미지: IMG_OCR_6_F_0000414.png ===
ID 1: JSON=3459232051623, EasyOCR=34592320 51623
ID 2: JSON=홍채우, EasyOCR=통 채우
ID 3: JSON=9280.7.17, EasyOCR=92 90. 7(7
ID 4: JSON=나라, EasyOCR=나라
ID 5: JSON=132641-92-893345, EasyOCR=(32601-92-8933Y5
ID 6: JSON=증조부, EasyOCR=증 소부
ID 7: JSON=모현태, EasyOCR=모 현 태
ID 8: JSON=733-2878-9544, EasyOCR=그 33 -2878-9S4Y
ID 9: JSON=3063, EasyOCR=3 0 63
ID 10: JSON=9, EasyOCR=
ID 11: JSON=8, EasyOCR=
ID 12: JSON=허승기, EasyOCR=혀 승기
ID 13: JSON=봉인호, EasyOCR=인호


=== 이미지: IMG_OCR_6_F_0000914.png ===
ID 1: JSON=2199226386042, EasyOCR=2 / 99276386042
ID 2: JSON=재물보험, EasyOCR=재물 보험
ID 3: JSON=방주윤, EasyOCR=방주 문
ID 4: JSON=6364.10.25, EasyOCR=6 764. 10.그5
ID 5: JSON=행운, EasyOCR=행운
ID 6: JSON=941733-73-109856, EasyOCR=941733 - 73 /09856
ID 7: JSON=551-9790-3889, EasyOCR=551-9290 - 3889
ID 8: JSON=시숙, EasyOCR=숙
ID 9: JSON=필도현, EasyOCR=필도현
ID 10: JSON=617-8727-1515, EasyOCR=6 /7-8727-1515
ID 11: JSON=1382, EasyOCR=3 82
ID 12: JSON=10, EasyOCR=1 0
ID 13: JSON=20, EasyOCR=
ID 14: JSON=창한, EasyOCR=창한
ID 15: JSON=맹유준, EasyOCR=냉유 준


=== 이미지: IMG_OCR_6_F_0001511.png ===
ID 1: JSON=표윤재, EasyOCR=표문 재
ID 2: JSON=369335-3299596, EasyOCR=369335-32975P6
ID 3: JSON=268-2907-0995, EasyOCR=268 290 - 09P8
ID 4: JSON=충청북도, EasyOCR=춤 청 북도
ID 5: JSON=홍성군, EasyOCR=콩 싱군
